團,LGJF
柯,SSKG
柩,SAQY
柴,HXSU
崁,MFQW
柰,SFIU
柱,SYGG
柲,SNTT
柳,SQTB
柽,SCFG
柿,SYMH
柹,STNT
焐,OGKG
焓,OWYK
焕,OQMD
焖,OUNY
焗,ONNK
焘,DTFO
焙,OUKG
焚,SSOU
焜,OJXX
焉,|||||
焊,OJFH
焰,OQVG
焱,OOOU
然,QDOU
無,RLGO
焦,WYOU
歪,GIGH
焯,OHJH
闇,UUJD
路,KHTK
闅,UHHC
闃,UHDI
跫,AMYH
跨,KHDN
跤,KHUQ
闌,UGLI
闋,UWGD
跣,KHTQ
闈,UNHH
闖,UCI
闕,UUBW
跽,KHNN
跺,KHMS
跻,KHYJ
跸,|||||
跹,KHTP
闞,UNBT
跴,KHSG
践,KHGT
闚,UFWQ
跎,|||||
跏,KHLK
跌,KHRW
麻,YSSI
跋,KHDC
闡,UKKF
闯,|||||
问,UKD
闭,UFTE
闫,UDD
闪,UWI
闩,UGD
麽,YSSC
跞,KHQI
跟,KHVE
闵,UYI
距,KHAN
跚,KHMG
跛,KHHC
闱,UFNH
闰,UGD
跖,KHDG
闾,UKKD
闽,UJI
麿,YSSK
闻,UBD
闺,UFFD
闹,UYMH
跑,KHQN
劭,VKLN
針,QFH
帆,MHMY
帅,JMHH
市,YMHJ
布,DMHJ
帀,GMHK
币,TMHK
帏,MHFH
希,QDMH
帋,QAMH
师,JGMH
帖,MHHK
帔,MHHC
帕,MHRG
帐,MHTY
帑,VCMH
帜,MHKW
帝,UPMH
帚,VPMH
帛,RMHJ
帘,PWMH
帙,MHRW
带,GKPH
帧,MHHM
帥,WNNH
帮,DTBH
帬,VTKH
席,YAMH
師,WNNH
帶,AQPH
帷,MHWY
帳,MHDE
帱,MHDF
帼,MHLY
崭,MLRJ
帻,MHGM
常,IPKH
囟,TLQI
回,LKD
囝,LBD
四,LHNG
囚,LWI
囗,LHNG
囓,KDHB
囑,KNIJ
囏,AKFK
囊,GKHE
囈,KAFC
囅,KKJE
囁,KBBB
囀,KLGF
囿,LDED
图,LTUI
国,LGYI
固,LDD
囹,LWYC
囵,LWXV
围,LFNH
囱,TLQI
困,LSI
囯,LGD
园,LFQV
囬,MJDD
囫,LQRE
囥,LYMV
囤,LGBN
团,LFTE
囡,LVD
因,LDI
佰,WDJG
劇,|||||
偌,WADK
佶,WFKG
假,WNHC
馀,|||||
佣,WEH
龅,HWBN
偝,WUXE
佥,WGIF
蔄,AUKF
蔃,AXKJ
蔀,AUKB
蔌,AGKW
蔊,AOJF
蔗,AYAO
蔕,AAQH
蔔,AQGL
蔓,AJLC
蔑,ALDT
蔟,AYTD
蔞,|||||
蔜,AGQT
佪,WLKG
蔘,ACCE
蔦,AWVO
蔥,ATLN
蔤,APNM
蔣,ANHF
蔢,AIHV
蔡,AWFI
佬,WFTX
蔭,ABWC
蔬,ANHQ
蔫,AGHO
蔷,AFUK
蔴,AYSS
蔽,AUMT
蔼,AYJN
蔻,APFC
蔺,AUWY
蔹,AWGT
蔸,AQRQ
偪,WGKL
偬,WQRN
馍,QNAD
仆,WHY
仇,WVN
赭,FOFJ
仅,WCY
仂,WLN
栰,SWAT
栳,SFTX
仁,WFG
栽,FASI
格,STKG
仍,WEN
今,WYNB
核,SYNW
仉,WMN
他,WBN
仗,WDYY
仔,WBG
仕,WFG
校,SUQY
仓,|||||
仑,WXB
仞,WVYY
仟,WTFH
仝,|||||
栩,SNG
付,WFY
株,SRIY
令,WYCU
栖,SSG
树,SCFY
代,WAY
栓,SWGG
仡,WTNN
栝,STDG
们,WUN
仪,WYQY
仫,WTCY
仨,WDG
栅,SMMG
价,WWJH
标,SFIY
栆,GKHU
栁,SQBH
仳,WXXN
仰,WQBH
仿,WYN
栏,SUFG
栎,SQIY
栉,SABH
任,WTFG
栋,SAIY
栊,SDXN
但,WJGG
踢,KHJR
馈,QNKM
佇,WPSH
佌,WHXN
側,WMJH
低,WQAY
住,WYGG
骰,MEMC
骱,MEWJ
骳,MEHC
骴,MEHX
骶,MEQY
骷,MEDG
骸,MEYW
骺,MERK
磊,DDDF
骼,METK
骾,MEGQ
骠,CSFI
骡,CLXI
骢,CTLN
骣,CNBB
磕,DFCL
骥,CUXW
骧,CYKE
磙,DUCE
磚,DGJF
骯,MEYM
骐,CADW
骑,CDSK
骒,CJSY
骓,CWYG
骖,CCDE
骗,CYNA
骘,BHIC
磨,YSSD
骚,CCYJ
骛,CBTC
骜,GQTC
骝,CQYL
骞,PFJC
骟,CYNN
骀,CCKG
骁,CATQ
骂,KKCF
磲,DIAS
骄,CTDJ
磴,DWGU
骆,CTKG
骇,CYNW
骈,CUAH
骉,CCCF
骊,CGMY
骋,CMGN
验,CWGI
骏,CCWT
李,SBF
杏,SKF
杌,SGQN
杈,SCYY
杉,SET
杆,SFH
杇,SFNN
杂,VSU
权,SCY
杀,QSU
杞,SNN
束,GKII
杜,SFG
杖,SDYY
杓,SQYY
材,SFTT
村,SFY
杯,SGIY
杭,SYMN
杪,SITT
杨,SNRT
杩,SCG
杧,SYNN
来,GOI
杠,SAG
条,|||||
松,SWCY
板,SRCY
杼,SCBH
杻,SNFG
杷,SCN
杴,SQWY
杵,STFH
杲,JSU
杳,SJF
杰,SOU
東,GJII
費,XJMU
貶,MTPY
鏘,QNHF
嶌,MWVO
嶁,MKGV
嶂,MUJH
嶃,MLRH
嶄,MLRJ
嶅,GQTM
嶇,|||||
嶙,MOQH
嶝,MWGU
嶒,MULJ
嶓,MTOL
嶔,MQQW
嶗,MOOL
嶪,MOGW
嶮,MWGW
嶠,MTDK
嶧,MLFF
嶸,MOOS
嶺,MWYM
嶼,MWFW
嶽,MQTD
嶴,TMOM
嶷,MXTH
鷉,RHAO
熛,OSFI
熘,OQYL
熙,AHKO
熟,YBVO
熒,OOPO
熗,OWYK
熔,OPWK
熊,CEXO
熈,TAHO
熏,TGLO
熇,OYMK
熄,OTHN
熺,OFKK
熹,|||||
熾,OUAJ
熳,OJLC
熱,FWFO
熵,OUMK
熨,NFIO
熬,GQTO
熠,ONRG
镉,QGKH
話,YTDG
該,YYNW
詳,YUDH
镍,QTHS
詵,YTFQ
镏,QQYL
镎,QWGR
镁,QUGD
詹,QDWY
镂,QOVG
镅,QNHG
镄,|||||
镇,QFHW
詿,YFFG
詠,YYNI
詡,YNG
詢,YQJG
镚,QMEE
镝,QUMD
镜,QUJQ
試,YAAG
镞,QYTD
镑,QUPY
詩,YFFY
镓,QPEY
詫,YPTA
镕,QPWK
詭,YQDB
詮,YWGG
镖,QSFI
镩,QPWH
镨,QUOJ
镫,QWGU
镪,QXKJ
镭,QFLG
镬,QAWC
镯,QLQJ
鯮,QOPI
詘,YBMH
镣,QDUI
镢,QDUW
镥,QQGJ
镤,QOGY
詞,YNGK
镦,QYBT
詁,YDG
长,TAYI
镱,QUJN
镰,QYUO
镳,QYNO
镲,QPWI
镵,QQKY
長,|||||
镶,QYKE
榿,SMGU
榼,SFCL
榻,SJNG
榷,SPWY
榴,SQYL
榲,SLWL
榱,SYKE
榮,OOPS
榭,STMF
榫,SWYF
榪,SCY
榨,SPWF
榧,SADD
榠,SPJU
榜,SUPY
榛,SDWT
榘,TDAS
榖,FPTC
榕,SPWK
榔,SYVB
笕,TMQB
榎,SDHT
榍,SNIE
榊,SPYH
榉,SIWH
榈,SUKK
榇,SUSY
榆,SWGJ
榄,SJTQ
概,SVCQ
榀,SKKK
鯝,QOLD
笫,TTNT
第,TXHT
赏,IPKM
噠,KFUP
噢,KTMD
噥,KMAE
噤,KSSI
噦,KHDT
噩,GKKK
器,KKDK
噫,KUJN
噪,KKKS
噬,KTAW
噯,KEPT
噱,KHAE
噲,KWGJ
噴,KFAM
噶,KAJN
噸,KGBM
噻,KPFF
噼,KNKU
噁,KGHN
噀,KNNW
噇,KUJF
噉,KNBT
噍,|||||
噌,KULJ
噎,KFPU
噑,KRIF
噔,KWGU
噗,KOGY
噙,KWYC
噘,|||||
噛,KHOB
噝,KXXI
噜,KQGJ
薉,AHDT
薈,AWGJ
薋,AUQM
薊,AQOJ
薌,AXTB
薏,AUJN
薁,ATMD
薅,AVDF
薄,AIGF
薇,ATMT
薆,AEPT
薙,ATDY
薛,AWNU
薜,ANKU
薟,AWGW
露,FKHK
薗,ALFE
薩,ABUG
薨,|||||
敬,AQKT
薪,AUSR
薬,ARIS
薯,ALFJ
薮,AOVT
薢,AQEH
薤,AGQG
薹,AFKF
薺,AYVF
薰,ATGO
薳,AFKP
薴,APNS
薷,AFDJ
霽,FYVF
癉,UKKF
霧,FCBL
癜,UNAC
鄃,WGEB
霖,FSSU
霓,FVQB
霞,FNHC
癭,UMMV
筋,TELB
騸,CYNN
騾,CLXI
筍,|||||
筌,TWGF
騰,EUDC
騶,CQBT
騷,CCYJ
筅,TTFQ
筛,TJGH
騫,PFJC
筘,TRKF
騮,CQYL
筞,TPSU
筝,TQVH
騭,BHIC
筒,TMGK
筑,TAMY
筐,TAGF
策,TGMI
答,TWGK
筩,TCEJ
騙,CYNA
筯,TEGL
筮,TAWW
筭,TGAJ
筢,TRCB
騐,CWYN
筠,TFQU
筧,THQB
筻,TGJQ
筹,TDTF
騎,CDSK
签,TWGI
騍,CJSY
筲,TIEF
筱,TWHT
騁,CMGN
筷,TNNW
筵,TTHP
騅,CWYG
惑,AKGN
惔,NOOY
惕,NJQR
惘,NMUN
惚,NQRN
癰,UVKY
惜,NAJG
惝,NIMK
惟,NWYG
情,NGEG
惆,NMFK
霏,FDJD
惊,NYIY
惋,NPQB
惏,NSSY
惰,NDAE
惲,NPLH
想,SHNU
惴,NMDJ
惶,NRGG
惷,DWJN
惹,ADKN
惺,NJTG
惻,NMJH
惼,NYNA
惠,GJHN
惡,GHGN
惥,VWNU
惦,NYHK
惧,NHWY
惨,NCDE
惩,TGHN
惪,FHNU
惫,TLNU
惬,NAGW
惭,NLRH
惮,NUJF
惯,NXFM
瀜,IGKJ
瀝,IDTH
瀟,IAVH
瀘,IHAL
瀚,IFJN
瀛,IYNY
瀕,IHIM
瀖,IFWY
瀐,IFAG
瀑,IJAI
瀌,IYNO
瀍,IYJF
瀏,IQYJ
瀉,IPVO
瀅,IOOY
瀆,IFLM
瀼,IYKE
瀾,|||||
瀿,ITXI
瀹,IWGA
瀵,IOLW
瀷,INLW
瀲,IWGT
侽,|||||
瀨,IGKM
瀧,IUED
瀠,|||||
瀣,IHQG
諺,YUTE
鋒,QTDH
諸,YFTJ
倅,WYWF
諾,YADK
諼,YEFC
諳,YUJG
諱,YNHH
諶,YADN
鋞,QGVA
鋝,QEFY
鋜,QKHY
鋃,QYVE
諫,YGLI
鋇,QMY
鋆,|||||
鋅,|||||
諭,YWGJ
鋋,QTHP
鋈,ITDQ
鋏,QDWW
諧,YXXR
諤,YKKN
鋌,QTFP
諛,YVWY
鋱,QANY
諙,YQAJ
諞,YYNA
鋶,QYCQ
諜,YANS
諒,YYIY
鋹,QDEY
諑,YEYY
論,YWGA
諗,YWYN
諔,YHIC
鋣,QAHB
請,YGEG
諉,YTVG
鋦,QNNK
鋥,QKGG
鋤,QEGL
諂,YQVG
鋪,QGEY
鋨,QTRT
鋯,QTFK
鋮,QDNT
鋭,QUKQ
遭,GMAP
倘,WIMK
瞰,HNBT
遮,YAOP
倗,WEEG
汎,IMYY
倔,WNBM
侩,WWFC
颌,WGKM
求,FIYI
侪,WYJH
崖,MDFF
崗,MMUM
崔,MWYF
崕,MDFF
汆,TYIU
崘,MWGA
崙,MWGA
崞,MYBG
倬,WHJH
汇,IAN
崂,MAPL
崃,MGOY
崀,MYVE
侖,|||||
崆,MPWA
崇,MPFI
倪,WVQN
崎,MDSK
崍,MSWW
遽,HAEP
侓,WVFH
崴,MDGT
崵,MJGR
崾,MSVG
崽,MLNU
依,|||||
崦,MDJN
崧,MSWC
崤,MQDE
崩,MEEF
崮,MLDF
選,NNAP
遺,KHGP
倣,|||||
汐,IQY
倾,WXDM
债,WGMY
汕,IMH
嗫,KBCC
汪,IGG
嗩,KIMY
嗨,KITU
侃,|||||
嗬,KAWK
嗣,KMAK
嗡,KWCN
嗦,KFPI
嗥,KRDF
嗤,KBHJ
汩,IJG
嗽,KGKW
嗳,KEPC
嗲,KWQQ
嗷,KGQT
嗶,KJAF
嗵,KCEP
嗉,KGXI
嗏,KAWS
嗎,KCY
嗍,KUBE
嗌,KUWL
嗁,KRHM
嗇,FWWK
嗆,KWYK
嗅,KTHD
嗄,KDHT
嗚,KWNO
嗟,KUDA
嗝,KGKH
嗜,KFTJ
嗓,KCCS
嗒,KAWK
嗑,KFCL
嗖,KVHC
嗔,KFHW
遞,RHAP
萦,APXI
違,NHKP
達,FUDP
遗,KHGP
汶,IYY
道,UTHP
舒,WFKB
舐,TDQA
舖,WFKY
舔,TDGN
舛,QAHH
舘,WFKN
舟,TEI
舞,RLGH
舝,NHVH
舜,EPQH
舂,DWVF
舁,VAJ
舀,EVF
與,WFGW
舆,WFLW
舅,VLLB
舄,VQOU
舋,WFMG
舊,AWYV
舉,WFGH
興,WFMW
舍,WFKF
舌,TDD
舳,TEMG
舱,TEWB
舰,TEMQ
舷,TEYX
舶,TERG
舵,TEPX
舴,TETF
舻,TEHN
船,TEMK
舸,TESK
舾,TESG
舣,TEYQ
舢,TEMH
舡,TEAG
舫,TEYN
航,TEYM
舩,TEWC
舨,TERC
舯,TEKH
舭,TEXX
般,TEMC
敍,|||||
鳎,QGJN
需,FDMJ
椁,SYBG
椅,SDSK
椇,SHWY
椆,SMFK
椋,SYIY
植,SFHG
椏,SGHG
椎,SWYG
椑,SRTF
椐,SNDG
椒,SHIC
椗,SPGH
椟,SFND
椠,LRSU
椤,SLQY
椭,SBDE
椰,SBBH
椴,SWDC
椶,SQBT
椹,SADN
懽,NAKY
椽,SXEY
椿,SDWJ
椾,SUEJ
篌,TWND
築,TAMS
鮹,QOIE
篅,TMDJ
範,TLBB
篇,TYNA
篆,TXEU
篁,TRGF
節,TVCB
篝,TFJF
鮭,QOFF
鮮,QOUD
篞,TIJF
篙,TYMK
篘,TQBT
鮪,QODE
鮫,QOUQ
鮧,QOGW
篑,TKHM
鮡,QOIQ
篓,TOVF
曽,ULJF
鮝,UDQO
鮞,QODJ
鮟,QOPV
篩,TWNH
鮚,QOFK
篪,TRHM
篥,TSSU
篤,TCU
鰥,QOLI
篡,THDC
鮑,QOQN
鮒,QOWF
鮓,QOTF
鮌,QOYX
篼,TQRQ
鮎,QOHK
篾,TLDT
篸,TCCE
鮊,QORG
鮅,QONT
篷,TTDP
鮀,QOPX
篰,TUKB
篳,TJAF
鮃,QOGH
恚,FFNU
曳,JXE
恝,DHVN
恒,NGJG
恐,AMYN
恕,VKNU
恋,YONU
恍,NIQN
恂,NQJG
恃,NFFY
恁,WTFN
恆,|||||
恺,NMNN
恻,|||||
恸,NFCL
恹,NDDY
恿,CENU
恼,NYBH
恽,NPLH
恳,VENU
恰,NWGK
恶,GOGN
恪,NTKG
恫,NMGK
恨,|||||
恩,LDNU
息,THNU
恬,NTDG
恭,AWNU
恢,NDOY
恣,UQWN
恠,NDHF
恡,NQDC
恧,DMJN
恤,NTLG
恥,BNY
撣,RKKF
鹄,TFKG
撡,RCCN
鰺,QOCE
曡,JJJG
撥,RWXC
鹂,GMYG
兆,IQV
撩,RDUI
寃,PQKY
寂,PHIC
寇,PFQC
密,PNTM
寅,PGMW
寄,PDSK
寍,PNLF
富,PGKL
寓,PJMY
寒,PFJU
寐,|||||
鹋,ALQG
寛,PAHQ
鰆,QODJ
撬,RTFN
察,PWFI
寞,PAJD
寝,PUVC
撳,RQQW
寡,PDEV
寧,PNLS
實,PXFM
寥,PNWE
寤,PNHK
審,PTOL
寨,PFJS
寮,PDUI
寬,PAHY
寳,PGQM
寰,PLGE
寶,PGRM
寵,|||||
寻,VFU
撷,RFKM
对,CFY
寸,FGHY
寿,DTFU
导,NFU
撺,RPWH
曈,JUJF
撸,RQGJ
撾,RMNP
撼,RDGN
岔,WVMJ
岖,MAQY
岗,MMQU
岐,MFCY
岑,MWYN
撂,RLTK
岜,MCB
岞,MTHF
岘,MMQN
岙,TDMJ
岚,MMQU
岛,QYNM
岁,MQU
岂,MNB
岌,MEYU
岍,MGAH
岈,MAHT
岵,MDG
岷,MNAN
鹣,UVOG
岳,RGMJ
岽,MAIU
岿,MJVF
岸,MDFJ
岡,MUMK
岢,MSKF
岣,MQKG
岬,MLH
岭,MWYC
岩,MDF
岫,MMG
鹮,LGKG
篚,TADD
撓,RFFQ
鮠,QOQB
撖,RNBT
撕,RADR
篯,TQGR
篮,TJTL
抵,RQAY
撙,RUSF
鹹,HLQT
篦,TTLX
鮐,QOCK
饝,WYVD
掰,|||||
掼,RXFM
饔,YXTE
風,MTJI
控,|||||
篱,TYBC
接,RUVG
鮁,QODC
掣,RMHR
篲,|||||
饌,|||||
炤,OVKG
炮,OQNN
炯,OMKG
炬,OANG
炭,MDOU
炫,OYXY
炷,OYGG
恙,UGNU
炳,OGMW
炰,QNOU
炱,CKOU
炼,|||||
炽,OKWY
為,|||||
炻,ODG
炸,OTHF
点,HKOU
炅,JOU
炀,ONRT
炁,AQOU
炎,OOU
炊,OQWY
炉,OYNT
炖,OGBN
炔,ONWY
炕,OYMN
炒,OITT
炜,OFNH
饆,WYVF
炙,|||||
鉕,QAKG
譽,|||||
鉗,QAFG
譴,YKHP
護,YAWC
議,YUGT
鉛,QMKG
鉚,QQTB
鉅,QANG
譯,YLFF
譩,YUJN
譫,YQDY
鉍,QNTT
鉏,QEGG
鉉,QYXY
鉈,QPXN
鉋,QQNN
排,RDJD
譜,YUOJ
鉴,JTYQ
識,YUAJ
譙,YWYO
譚,|||||
鉿,QWGK
饾,QNGU
鉸,QUQY
鉻,QTKG
鉺,QBG
譌,YETO
鉤,QQKG
譎,YCBK
鉦,QGHG
鉢,QSGG
鉭,|||||
鉬,QHG
譆,YFKK
譁,YAGF
瘅,UUJF
饵,QNBG
瘀,UYWU
饶,|||||
瘁,UYWF
掇,RCCC
铼,QGOY
瘌,UGKJ
饪,QNTF
瘍,UJGR
饭,QNRC
掂,RYHK
檉,SBKG
檎,SWYC
瘈,UDHD
檀,SYLG
碃,DGEG
檄,SRYT
铵,QPVG
檜,SWGJ
檑,SFLG
檐,SQDY
檗,NKUS
檔,SIPL
檫,SPWI
檩,SYLI
檨,SUGW
檮,SFNF
瘕,UNHC
檣,SFWK
檠,AQKS
栾,|||||
檦,SSFJ
掊,RUKG
檻,SAHL
瘗,UGUF
檾,OOPS
檳,SPGM
瘐,UVWI
饦,QNTA
檵,SXXN
瘜,UTHN
铢,QRIY
瘟,UJLD
瘘,UOVD
盞,AALF
瘛,UDHN
啭,KLFY
铛,QIVG
啮,KHWB
啫,KFTJ
啪,KRRG
啥,KWFK
啤,KRTF
啧,KGMY
啦,KRUG
啡,KDJD
铙,QATQ
啣,KRHB
啽,KWGA
啼,KUPH
啾,KTOY
啸,KVIJ
啻,UPMK
啵,|||||
瘠,UIWE
啷,KYVB
啶,KPGH
啰,KLQY
铞,QKMH
問,UKD
啉,KSSY
铝,QKKG
啊,KBSK
啄,KEYY
商,UMWK
啁,KMFK
啃,KHEG
啜,KCCC
啟,YNKT
啞,KGHG
铒,QBG
啕,KQRM
啗,KQVG
啖,KOOY
啑,KGVH
啐,KYWF
啓,YNTK
銑,QTFQ
铖,QDNT
醜,|||||
謼,YHAH
铕,QDEG
铋,QNTT
謹,|||||
铊,QPXN
銘,QQKG
孀,VFSH
孃,VYKE
孌,XYXV
孏,VAUI
瘳,UNWE
孕,EBF
孔,BNN
字,PBF
孑,BNHG
子,BBBB
孓,BYI
孝,FTBF
孜,BTY
孟,BLF
孙,BIY
存,DHBD
孛,FPBF
孚,EBF
孥,VCBF
孤,BRCY
学,IPBF
季,TBF
孢,BQNN
孬,GIVB
孮,BPFI
孩,BYNW
孫,BTXI
孪,YOBF
孵,QYTB
謬,YNWE
孱,NBBB
瘺,UNFI
孳,UXXB
孽,AWNB
孼,BTWB
孿,XYXB
瘻,UKGV
孺,BFDJ
芗,AXTR
芑,ANB
芐,AGHU
芒,AYNB
芝,APU
芜,AFQB
芟,AMCU
芙,AFWU
芘,AXXB
芛,AVTR
芚,AGBN
芄,AVYU
芇,AMHJ
芃,AMYU
节,ABJ
芍,AQYU
芏,AFF
芎,AXB
芈,GJGH
芋,AGFJ
芊,ATFJ
芴,AQRR
芷,AHF
花,AWXB
芰,AFCU
芳,AYB
芽,AAHT
芾,AGMH
芹,ARJ
芸,AFCU
芻,QBTT
芺,ATDU
芥,AWJJ
芤,ABNB
芧,ACBJ
芦,AYNR
芡,AQWU
謡,YERM
芢,AWFF
芭,ACB
芬,AWVB
芯,ANU
芮,AMWU
芩,AWYN
芨,AEYU
芫,AFQB
芪,AQAB
銲,QJFH
謖,|||||
銻,QUXT
逴,HJPK
逵,|||||
銣,QVKG
逸,QKQP
謊,YAYQ
銨,QPVG
銪,QDEG
逢,TDHP
銫,QQCN
涞,IGOY
涝,IAPL
銮,YOQF
逦,GMYP
穗,TGJN
穑,TFUK
穐,TQJN
穞,TQGJ
穇,TCCE
穆,TRIE
穅,TYVI
穂,TGMN
穀,FPGC
穎,XTDM
穌,|||||
穉,|||||
究,PWVB
穴,PWU
穰,TYKE
穿,PWAT
涓,IKEG
空,PWAF
穹,PWXB
穸,PWQU
坠,BWFF
穢,THDT
穡,TFWK
穮,TYNO
穬,TYAW
穩,TEAN
穨,TMKM
鬆,DESC
懝,NXTH
懟,OGUN
鬃,DEPI
鬀,DEUT
懔,NYLI
鬏,DETO
懑,IAGN
懒,NGKM
鬉,DEQT
懌,|||||
鬕,DEAD
懈,NQEH
應,YWWN
懊,NTMD
懋,SCBN
鬟,DELE
懆,NKKS
懇,EEVN
鬚,DEEM
懂,NATF
涪,IUKG
懼,NHHY
鬧,HGGH
懾,NBBB
懿,FPGN
懸,HITN
鬣,DEVN
懺,NWWG
鬮,HGGG
鬯,QOBX
懶,NGKM
懷,NYLE
懲,TMGN
鬩,HGGQ
通,CEPK
鬲,GKMH
润,IUGG
懤,NFNF
鬼,RQCI
鬽,RQCE
鬻,XOXH
懣,IAMN
猨,QTEC
猩,QTJG
猪,QTFJ
猫,QTAL
猬,QTLE
献,FMUD
猡,QTLQ
猢,QTDE
猥,QTLE
猸,QTNH
猹,QTSG
猻,QTBI
猾,QTME
猿,QTFE
猱,QTCS
逝,RRPK
猴,QTWD
猶,QTUG
猷,USGD
适,TDPD
猊,QTVQ
猋,DDDU
猎,QTAJ
猁,QTTJ
猂,QTJF
猃,QTWI
猄,QTYI
涼,IYIY
猜,QTGE
猝,QTYF
猞,QTWK
猓,QTJS
碘,DMAW
猕,QTXI
猖,QTJJ
猗,QTDK
鏟,QUTG
鏝,QJLC
鏜,QIPF
寢,PNHC
鏗,QAHF
鏖,YNJQ
涸,ILDG
鏑,QUMD
蟻,JUGT
逊,BIPI
鏌,QAJD
鏊,GQTQ
鏈,QLPY
鏇,QYTH
鏆,QXFM
鏃,QYTD
涵,IBIB
鏁,QVJS
鏽,QVHH
涴,IPQB
鏻,QOQH
鏹,QXKJ
鏸,|||||
鏷,QOGY
鏵,QAGF
鏴,QKHK
透,TEPV
鏨,LRQF
鏤,QKGV
鏢,QSFI
鏡,QUJQ
袤,YCBE
尜,IDIU
尝,IPFC
尚,IMKF
尘,IFF
尖,IDU
尔,QIU
尕,EIU
少,ITR
導,UTHF
小,IHTY
對,OGUF
尊,USGF
尋,VAKF
專,GJHF
寺,FFU
将,UQFY
將,NHDF
射,TMDF
尅,DQFI
封,FFFY
尾,NTFN
尿,NII
尼,NXV
尽,NYUU
尺,|||||
尻,NVV
尸,NNGT
尹,VTE
吕,|||||
尴,DNJL
尲,DNUO
就,YIDN
尬,DNWJ
尪,DNGD
尫,GQGD
尨,DNEE
尧,ATGQ
尤,DNV
尥,DNQY
尢,DNV
什,WFH
哶,KGJF
哳,KRRH
哲,RRKF
哱,KFPB
哿,LKSK
哽,KGJQ
哼,KYBH
哺,KGEY
哧,KFOY
哦,KTRT
哥,SKSK
員,KMU
哮,KFTB
哭,KKDU
哪,KVFB
哩,KJFG
哨,KIEG
哗,KWXF
哕,KMQY
哔,KXXF
哓,KATQ
哒,KDPY
哑,KGOG
哐,KAGG
哟,KXQY
哞,KCRH
哝,KPEY
哜,KYJH
哚,KMSY
哙,KWFC
哇,KFFG
哆,KQQY
哅,KQQB
哄,KAWY
哃,KMGK
哂,KSG
品,KKKF
哀,YEU
哏,KVEY
哎,KAQY
响,KTMK
哌,KREY
哉,FAKD
哈,KWGK
识,YKWY
评,YGUH
诅,YEGG
诂,YDG
诃,YSKG
诀,YNWY
证,YGHG
诎,YBMH
诏,YVKG
诌,YQVG
词,YNGK
诊,YWET
诋,YQAY
诈,YTHF
诉,YRYY
诖,YFFG
诗,YFFY
诔,YDIY
试,YAAG
诒,YCKG
诓,YAGG
诐,YHCY
译,YCFH
诞,YTHP
诟,YRGK
诜,YTFQ
话,YTDG
诚,YDNT
诛,YRIY
诘,YFKG
诙,YDOY
详,YUDH
诧,YPTA
诤,YQVH
该,|||||
询,YQJG
诣,YXJG
诠,YWGG
诡,|||||
诮,YIEG
误,YKGD
诬,YAWW
语,YGKG
诫,|||||
诨,YPLH
诩,YNG
诶,YCTD
请,YGEG
说,YUKQ
诵,YCEH
诲,YTXU
诳,YQTG
诰,YTFK
诱,YTEN
课,YJSY
诿,YTVG
诼,YEYY
诽,YDJD
诺,YADK
读,YFND
诸,YFTJ
诹,YBCY
茝,AAHH
茜,ASF
茛,AVEU
茚,AQGB
茗,AQKF
茖,ATKF
茕,APNF
茔,APFF
肯,HEF
茑,AQYG
茐,AQRY
茏,ADXB
茎,ACAF
茌,AWFF
茉,AGSU
茈,AHXB
茇,ADCU
茆,AQTB
茅,ACBT
茄,ALKF
范,AIBB
茂,ADNT
茁,ABMJ
茼,AMGK
茺,AYCQ
茹,AVKF
茸,ABF
茶,AWSU
茵,ALDU
茴,ALKF
茳,AIAF
茲,AXXU
茱,ARIU
茯,AWDU
茭,AUQU
茬,ADHF
茫,AIYN
茨,AUQW
茧,AJU
碩,DDMY
紀,XNN
紂,XFY
紃,XKH
約,XQYY
紅,XAG
紆,XGFH
紇,XTNN
紈,XVYY
紉,XVYY
紊,YXIU
紋,XYY
納,XMWY
紐,XNFG
紓,XCBH
純,XGBN
紗,XITT
紙,XQAN
級,XEYY
紛,XWVN
紜,XFCY
紞,XPQN
素,GXIU
紡,XYN
索,FPXI
紥,RNXI
紧,JCXI
紫,HXXI
紬,XMG
紮,SNXI
累,LXI
細,XLG
紱,XDCY
紲,XANN
紳,XJHH
紹,XVKG
紺,XAFG
紼,XXJH
紿,XCKG
樋,SCEP
樊,SQQD
樅,STWH
樁,SDWV
樂,XRXS
樝,SHAG
樟,SUJH
樞,SAKK
標,SSFI
樘,SIPF
樛,SNWE
樗,SFFN
樑,SIVS
樓,SKGV
樯,SFUK
権,SRWY
樨,SNIH
横,SAMW
模,SAJD
樠,SAMY
樽,SUSF
樾,SFHT
樹,SFKF
樺,SAGF
樵,SWYO
樷,SSBC
樱,SMMV
樲,SAFM
站,UHKG
竚,UPSH
竝,UUG
竟,UJQB
竞,UKQB
竑,UDCY
碰,DUOG
竖,JCUF
竈,PWFV
立,UUUU
竊,PWTC
竅,PWRT
竄,PWVN
竇,PWFM
竹,|||||
竻,TLB
竺,TFF
竽,TGFJ
竿,TFJ
竾,TBB
競,UKQQ
竪,AHNU
竭,UJQN
端,UMDJ
章,UJJ
竣,UCWT
童,UJFF
竦,UGKI
颈,CADM
慧,DHDN
颊,GUWM
颋,TFPM
慢,NJLC
慣,NXFM
颏,YNTM
慮,HALN
颁,WVDM
颂,WCDM
颃,YMDM
慪,|||||
