肌肉无力,Muscle weakness|
附着力,adhesive power|adhesion|adhesive force|adhesive force|
驸马,My son|emperors soninlaw|
赴难,go to help save the country from danger|way of the cross|via crucis|go to the aid of ones country|
赴任,accede|be on the way to ones post|go to ones post|go to ones appointed post|
赴汤蹈火,through thick and thin|run toward the flame|go through hell|Going Under|go to the stake|go to a extremely dangerous area|go through fire and water|
赴宴,attend a dinner party|Dinner|feast|Attending the banquet|attend a banquet|
赴约,keep a date|Appointments|keep an appointment|attend your appointment|
复本,counterpart|duplicate|duplicate|replica|duplicate original|copy|
复辟,come back|stage a comeback|restoration of a dethroned monarch|Restauration|
复查,countercheck|Having Reexamination|review|reexamination|recheck|
复仇,season  of Revenge|Vengeance|revenge|Revenge|
复出,comeback|return|Back|appear again|
复电,complex electrical|telegram in reply to one received|reply message|
复读,be in school again|AB|Reread|resume ones interrupted studies|Grade Repeating|
复发,Recurrence|recurrent|Relapse|recur|reappear|relapse|recidivation|recurrence|recrudesce|
复方,compound prescription|medicine made of two or more ingredients|compounds|Co|compound|
复辅音,consonant cluster|Consonant cluster|
复工,return to work after a strike or layoff|Resumption of Work|multiplex|Return to work|Reprise|
复古,VINTAGE|Nostalgia|return to the ancients|Retro|
复归,Reset|involution|Revert|resetting|
复函,
复航,
复合,Carrier generation and recombination|recombination|Recombination|
复合材料,composite|composite|matriau composite|composite material|
复合词,a compound word|compound word|composite word|compound|
复合元音,diphthong|complex vowel|polyphthong|
复核,Doublecheck|review|Validation|reexamine|recheck|
复会,to resume a meeting|resume a session|
复婚,remarry|resume matrimonial relation|Remarry|resumption of marriage|marry each other again|restoration of marriage|restoration of a marriage|
复活,resurgence|Rsurrection|Resurrection|
复活节,Pques|Easter|
复建,
复交,multiple cross|composite cross|reestablish diplomatic relations|multiple crosse|
复旧,revert to|redintegration|instauration|Relapse|
复句,composite sentence|complex sentence|a sentence of two or more clauses|compound sentence|
复刊,resume publication|
复课,class resumption|resumption of school|resume classes|
复利,Intrts composs|compound interest|compound interest|
复明,
复命,to report on completion of a task|report on completion of a task|
复牌,Resumption|relist|Resumption of trading|resumption of trading|
复赛,quarterfinal|Repecharge|playoff|intermediary heat|rematch|
复审,review|reexamination|reexamine|recheck|rehear|
复生,Resurrection|demutation|Resuscitation|
复试,retrial|Retest|reexamination|reexamine|hold an reexamination|
复述,rehearsal|Repeat|repeat|retell|restatement|
复数,complex number|plural|complex|plurality|pluralism|complex number|imaginaries|
复苏,Recovery|anabiosis|come to|revive|resuscitate|resuscitation|palinesthesia|
复谈,
复通,
复位,reset|RST|restoration|Unset|
复胃,compound stomach|complex stomach|stomachus compositus|
复习,review|revision|Review|go over|
复线,MLine|Multiline|complex line|multiple track|
复写,copying|make carbon copies|replication|duplicate|roneo|reproduction|duplication|
复写纸,carbon copy|carbon paper|carbon paper|carbon tissue|
复信,Answer|A Letter for Reply|to reply to a letter|write a letter in reply|
复兴,renaissance|revitalize|Revival|
复姓,compound surname|Compound surname|Chinese compound surname|twocharacter surname|Twocharacter surname|
复学,Leave|reentry|go back to school|Leaudiovideoe|
复盐,complex salt|double salt|double salt|
复眼,Compound eye|il compos|ommateum|compound eye|
复业,reestablish ones business|resume ones occupation|Resumption of business|resume business|reestablishment|
复叶,complex leaf|compound leaf|exilis|compound leaf|
复议,reconsider a decision|reconsider|review|reconsideration|
复音,complex tone|complex tone|Polyphone|Poly|
复印,duplicate|copy|photocopy|xerox|reprography|
复印机,duplicating machine|duplicator|copier|photocopier|copying machine|
复元,got over|postequalization|recover|Recovery|revive|
复员,demobilization|deactivate|demobilize|
复原,Recovery|reversion|rebound|recruit|Restoration|recover|regress|get over|
复杂,intricacy|complexity|complex|Complex|
复诊,To attend the clinic|subsequent visit|further consultation|return visit|
复职,in ones office|Reinstatement|resume ones post|be reinstated|
复制,Duplicate|Replication|duplicate|replication|copy|COPY|duplication|
复种,Repeat vaccinate|multiple cropping|multiple cropping|revaccination|
复转,demobilize and transfer|to transfer to other tasks|
副本,ectype|carbon copy|Duplicate|counterpart|duplicate|copy|copy|transcript|
副标题,subhead|Subtitle|half title|subheading|
副产品,spinoff|coproduct|subsidiary products|byproduct|secondary product|
副产物,outgrowth|coproduct|byproduct|accessory substance|
副词,adverb|
副歌,refrain|
副官,Aidedecamp|aide|lieutenant|aide de camp|aidedecamp|Adjutant|subaltern|adjutant|
副教授,Professore Associato|adjunct professor|associate professor|Adjunct Professor|
副刊,supplement|supplment|Back page|
副热带,subtropics|subtropical zone|subtropical belt|
副神经,Accessory nerve|Nerf accessoire|accessory nerve|
副食,Side Order|side order|nonstaple food|nonstaple food|subsidiary food|
副手,assistant|Off Hand|portreeve|help|
副题,Subthemes|subhead|subtitle|
副性征,
副业,byline|parergon|subsidiary business|bywork|sideline production|Sideline|avocation|
副油箱,Drop tank|auxiliary fuel tank|Rservoir largable|
副职,the position of a deputy to the chief of an office|deputy post|deputy|vice|etc|department|
副作用,sideeffect|aftereffect|Side effect|secondary action|side effect|effet secondaire|
赋税,feudallandtax|taxation|taxes|
赋闲,be unemployed|Unemployed|out of work|unemployment|
赋性,
赋役,taxes and corvee|etsuki|tax|taxes and corve|
赋有,to possess naturally to be gifted with|be endowed with some gift etc|Endowed with|be gifted with|endow|possess naturally|
赋予,vest|give|Given|attach|ensure|put|endow|
傅科摆,
富贵,riches and honour|Jamco|Wealth|wealth and rank|
富贵病,Affluenza|Rich mans disease|illness of affluence|
富国,haves|reiches Land|labor abundant country|have|
富豪,billionaire|milliardaire|rich and powerful people|
富集,gathering|beneficiation|beneficiation|concentration|enrichment|enrichment|
富矿,highgrade ore|enriched ore|rich ore|high grade ore|Bonanza|
富勒烯,fullerene|
富丽,
富民,enrich people|Enrich the people|rich men|enriching people|
富农,rich peasant|rich peasants|kulak|kulaks|
富强,Fuqinag|rich and mighty|thriving and powerful|prosperous and strong|Prosperous|
富饶,fertile|Odelia|richly endowed|Welltodo|bountiful|milk and honey|rich|abundant|
富商,Businessman|merchant prince|merchant service|
富庶,populous and affluent|rich and populous|rich and popular|Wealthy|
富翁,a rich man|rich man|Million men|Sugar Daddy|man of wealth|
富营养化,eutrophication|eutrophia|Eutrophisation|Eutrophication|
富有,to well off|wealthiness|Odelia|in the chips|full of|be imbued with|Rich|wealthy|
富余,surplus|have more than needed|have enough and to spare|in surplus|
富裕,be rich|affluence|opulence|
富源,bonanza|resource|natural resources|
富足,plentiful|abundant|Affluence|rich|
腹案,
腹背受敌,between the upper and lower millstones|between hammer and anvil|between the hammer and the anvil|Between Scylla and Charybdis|between Scylla and Charybdis|Esti inter martelo kaj amboso|be attacked front and rear|
腹地,hinterland|backland|hinderland|Outback|interior|central region|
腹诽,silent curse or disagreement|unspoken criticism|
腹股沟,Inguinal|Groin|groin|inguen|inguinal fold|
腹面,segmental venter|segmental venter|venter|ventral side|
腹膜,Peritoneum|peritoneum|peritonaeum|Pritoine|velamentum abdominale|siphac|
腹鳍,ventral fin|ventral fin|ventral|abdominal fin|pelvic fin|pelvic fin|
腹腔,peritoneal cavity|abdominal cavity|enterocoelia|Abdominal|
腹水,ascites|ascitic fluid|abdominal dropsy|peritoneal dropsy|Ascites|
腹泻,diarrhe|diarrhea|
腹心,reliable agent|henchman|true thoughts and feelings|vital part|ventral heart|trusted subordinate|
腹足类,gasatropod|snails|gastropods|gastropods|
覆盖,Override|cover|coverage|Covering|
覆盖面,covering surface|area under canopy|shut face|Coverage|coverage|
覆灭,wipe out|destroy|doom|complete collapse|destruction|
覆没,drown|swamping|capsize and sink|capsized|
覆盆子,blaeberry|Raspberry|fructus rubi|Rubus idaeus|Rubus idaeus L|raspberry|
覆亡,fall of an empire nation etc decline|fall|
覆辙,disastrous policy|Mistakes|the track of an overturned cart|
馥郁,heavily scented|strong fragrance|arome|heavy perfume|fragrance|
伽马刀,gamma knife|Gamma Knife|
伽马射线,gamma ray|
嘎巴,SNAP|Gabbra|Kapala|
嘎巴,SNAP|Gabbra|Kapala|
嘎嘎,quack|Quack|quackquack|Ltext ady Gaga|
嘎吱,creak|Crunch|
嘎嘎,quack|Quack|quackquack|Ltext ady Gaga|
噶伦,Galoins|bkavblon|Kalon|karen|Karen|
噶厦,bkavshag local government of Tibet|gaxia|bkavshag|Kashag|
该当,deserve|ought to|should|Deserve|
该死,damn|A pox on him|
改版,afterlight|form correcting|Revision|revision|
改编,rearrange|reorganize|rifacimento|adapt|rework|recompose|adaptation|
改变,Change|alter|change|transform|
改朝换代,The Kingdom|changes of dynasties|substitute a new regime for the old|The old dynasty was replaced with a new one|change dynasties|regime change|
改道,redirection|rechannel|Diversion|change ones route|Detour|
改点,
改订,to revise|reformulate|revises|reformulation|rewrite|
改动,modificine|modify|alter|change|alteration|
改革,revolution|Reform|reform|innovate|reformation|innovation|
改观,transfigure|change the appearance of|transform|turn around|
改过,correct ones mistakes|mended|correctoneserrors|mend ones ways|
改行,change ones profession|change ones profession trade|transferred to civilian work|divert|occupation|Diverted|
改换,replace|jdk|change|change over to|
改嫁,remarrying|remarry|Remarry|
改建,Conversion|rebuild|transform|alteration|reconstruction|reconstruct|
改进,improve on upon|improvement|perfection|ameliorate|Improve|improve|
改口,to correct oneself|correct oneself|withdraw or modify ones previous remark|
改良,improvement|Improve|reform|improve|
改良主义,reformism|Reformism|Rformisme|
改判,change the original sentence|commute|amend a judgement|overrules|Commute|
改期,change the date|umbuchen|Postponed|take a rain check|
改善,perfect|improvement|Improve|improve|
改天,another day|some other day|sometime|take a rain check|
改头换面,Extreme Makeover|change ones appearance|Transformation|Out From Under|
改弦更张,make a fresh start|change over to new ways|start afresh|the change in politics|Make a fresh start|
改弦易辙,chance to another tune|reverse oneself|dance to another tune|Change course|Recantation|
改线,reroute|Churn|relocation|realignment|relocate|
改邪归正,A Thug In Time|give up evil and return to good|on the straight|Repented|Mend your ways|
改写,Rewrite|adaptation|adapt|rewrite|
改型,derivative|version|remodeled|remodel|retrofit|
改选,reelection|reelect|
改易,kaieki|transform|change|
改元,change the designation of an imperial reign|change the title of a reign|the change of reign title|
改造,make over|transformation|remould|transform|Transform|
改正,amend|correction|correct|reform|
改制,stryppeddown|Restructuring|remanufacture|institution status change|
改装,Conversion|facelifting|refit|configure|adapt|
改组,reorganization|Restructure|reorganize|Reshuffle|Restructuring|reshuffle|
芥菜,Indian mustard|senvy|mustard leaf|leaf mustard|Brassica juncea|
钙化,calcification|Calcification|calcification|
盖饭,Donburi|rice served with meat and vegetables on top|rice with meat and vegetables|
盖浇饭,Rice bowl|Sth On rice|rice served with meat and vegetables on top|Gaifan|
盖世,unrivelled|Matchless|unparalleled|matchless|peerless|
盖世太保,Gestapo|Gestapo|
盖头,endshield|Hjiab|veil|head cover|
盖碗,covered bowl|tureen|Bowl with cover|Tureen|
盖子,lid|Cap|cap|cover|
概观,Overview|review|general survey|conspectus|panorama|
概况,Profile|general situation|points|survey|Overview|
概括,summarize|generalize|sum up|generalization|
概览,overview|general view|Survey|Overview|survey|Storage quick view|
概率,probability|probabilit|probability|
概略,compendium|sketch|outline|summary|
概论,Propaedeutikum|outline|generality|conspectus|
概貌,the general picture|general picture|general view|
概念,notion|concept|conception|idea|concepts|
概念化,conceptualization|conceptualize|Conceptualizing|
概述,sketch out|Outline|Introduction|overview|Overview|summarize|
概说,General Introduction|Profile|prevue|generality|
概算,estimate cost|estimates|estimate budget|Estimation of Sums|budget estimate|approximate amount|rough calculation|
概要,essentials|outline|Summary|synopsis|General|summary|schema|
干板,photographic dry plate|DFRs|photographic plate|dry plate|
干杯,toast|Cheers|bottoms up|
干贝,die Kammuschel|campoys|dried scallop adductor|conpoy|scallops|
干瘪,mummify shrivel or dry up|shrivel|Shriveled|wizened|shrivelled|dry up|
干冰,dry ice|dry ice|drikold|Dry ice|
干菜,dried vegetable|dried legumes|dried cole|dried vegetable|
干草,Foin|hay|cured hay|hay|
干城,
干脆,once and for all|clearcut|not mince ones words|straightforward|Altogether|
干电池,dry cell|dry cell|battery|dry accumulator|dry battery|dry battery|
干犯,offend|encroach upon|
干饭,Kao plao|cooked rice|suusen budaa|
干粉,Dry powder|dry chemical powder|dry powder|Gibico|
干戈,Broken Bow|weapons of war|war|arms|
干果,dry fruit|dried fruit|dried fruit|dry fruit egnuts|
干旱,aridity|dry|arid|drouth|drought|drought|
干涸,dried up|dry up|run dry|
干红,dry red wine|red wine hong potaojiu|AOC|Dry Red Wine|
干花,dried flower|Potpourri|dry flower|
干货,dry goods|dry cargo|Dry cargo|dried food|
干将,capable person|GSword|gogetter|
干结,dry and hard|
干净,Cleanliness|neat|It is clean|clean|
干咳,tussiculation|dry cough|hacking cough|hoose|
干枯,driedup|withered|desiccated|dried up|
干酪,cheese|cheese|kibbock|fondue|Mozzarella|blue checse|
干冷,drycold|dry cooling|dry and cold|
干粮,rations for a journey|solid food|food ration|solid food prepared for a journey|field rations|dry provisions|
干裂,seasoning crack|season crack|sun crack|suncrack|mud crack|seasoning crack|
干馏,destructive distillation|Dry distillation|Distillation sche|
干亲,nominal kinship|
干扰,obstruct|disturb|disturbance|interference|interference|distraction|distraction|
干扰素,interferon|Interferon|
干涩,Dry|dry and heavy|dry and rough|aningeresting|
干涉,intervene|interference|
干尸,mummy|mummification|Mummies|Dessicated corpse|
干爽,dry and clean|dry and comfortable|drytouch|
干洗,LAUNDRY|DRYCLEANED|drycleanse|dryclean|dry cleaning|dry cleaning|
干系,relation|implication|responsibility|stem line|Stakeholders|
干预,intervene|interpose|meddle|interfere|Intervention|
干燥,dry|Schage|drying|desiccation|arid|
干政,mikimasa|interference in the politics|criticize politic|
干支,heavenly stems and earthly branches|Sexagenary cycle|
干租,Dry lease|dry lease|
甘草,liquorice|licorice root|glycyrrhiza|Licorice|Glycyrrhiza uralensis|
甘苦,sweetness and bitterness|Marion|bitter and sweet|weal and woe|
甘蓝,Brassica oleracea|cabbage|kohlrabi|wild cabbage|
甘霖,timely rainfall|sweet rain|welcome rain|a good rain after a long drought|After a Lifegiving Rain|
甘露,sweet dew|Amrita|manna|
甘美,Sweet|Gamay|mellifluence|
甘泉,SweetWater|a welcome water|amaizumi|sweet spring|
甘薯,sweet potato|sweet potato|Dioscorea esculenta|batatas|
甘甜,sweet|dulcitude|sweety|
甘味,sweet taste|umami|sweetish taste|
甘心,willingly|prefer|Willing|reconcile to|readily|
甘油,Glycerin|glycerinum|glycerol|
甘于,accepting|be ready to|be happy to|Be willing to|be willing to|
甘愿,willingly|be willing|choose|readily|
甘蔗,Saccharum|sugarcane|
杆子,post|club|pole|Pole|
肝肠,liver sausage|Leberwurst|Enterohepatic|
肝肠寸断,be extremely sad|overwhelmed by grief|EE|Later he was driven|deep affliction|Liver and intestines are cut into inches|sorrowstricken|
肝胆,openheartedness|Hepatic Surgery|liver and gall|Liver and gall|heroic spirit|courage|sincerity|hati dan empedu|
肝胆相照,The Matador|sincere treatment with each other|Sworn Brothers|to be in perfect sympathy with each other|
肝火,the liverfire|irascibility|anim|Irascibility|liver fire|
肝脑涂地,die the cruelest death|Reducto|headexplosion|Take a shot|
肝气,liver qi|diseases with such symptoms as costal pain|diarrhea|vomiting|liver energy|etc|liverenergy|
肝炎,hepatitis|Hepatitis|hepatitis|
肝硬变,hepatocirrhosis|hepatic cirrhosis|cirrhosis|hepatitis interstitialis chronica|liver cirrhosis|hepatocirrhosis|
肝硬化,liver cirrhosis|cirrhose|cirrhosis|
肝脏,foie|liver|
坩埚,Crucible|crucible|crucible|
泔水,hogwash|swill|Swill|household wastes|Waste food|slops|swilling|
柑橘,citrus|Citrus|oranges and tangerines|Mandarin|quince|
柑子,orange|mandarin orange|tangerine|citrus|
竿子,bamboo pole|Pole|a bamboo pole|
杆菌,Bacille|bacillus|Bacillus|
杆子,post|club|pole|Pole|
赶不及,not enough time|theres not enough time to|its too late for|
赶不上,cant catch up with|Can not keep up|cant keep up with|in arrears of|
赶场,go to a village fair|Keep Teaching|
赶场,go to a village fair|Keep Teaching|
赶超,Catch|to overtake|Catchingup|catch up with and surpass|
赶车,Coachman|catch the bus|drive a cart|catch a bus|
赶赴,
赶工,charrette|to work against the clock|Crashing|Expediting|crashing|
赶集,Going to Market|go to a fair|diabolos|Go to the market|go to market|
赶紧,on the double|hurry up|Rush|hasten|
赶尽杀绝,drive away and exterminate everyone|Ruthless|be ruthless|Overkill|Shoot Em Up|spare none|
赶考,take the imperial examinations|Exam|
赶快,hurry up|get a move on|come on|quickly|
赶路,Catch Up|Hurry|hurry on with ones journey|cut on|
赶忙,make haste|hurry|hasten|hustle|
赶时髦,follow the fashion|go with the times|try to be in the swim|Depeche Mode|
敢死队,daretodie corps|Expendables  Unit spciale|forlorn hope|The Expendables|
敢于,capable of|dare to|Dare|venture|dare v  aux|
感触,touch|feel|feeling|Feelings|
感到,feel|Feel|Find|sentsensfeel|
感动,touch|affect|move|Moving|
感恩,Gratitude|be thankful|owe|Thanksgiving|Appreciation|feel grateful|
感恩戴德,Deeply grateful|feel deeply grateful|
感恩图报,Repayment in Kind|feel grateful for a kind act and plan to repay it|gang topper|owe a debt of gratitude and hope to recompense it|Humanity|be grateful to sb and seek ways to return his kindness|
感官,sense organ|Sense|
感光,sensitization|photographic flash bulb|sensitization|sensitising|
感光纸,sensitive paper|paper|sensitized paper|sensitive paper|sensitized paper|
感化,helptochangebypersuasion|exert influence on|help sb to change by education and persuasion|influence|
感怀,Thanks for the Memories|recall with emotion|Reminiscence|
感激,gratitude|gratitude to sb|appreciate|feel grateful|
感觉,feel|Feeling|sentiment|sense|
感觉器官,organum sensuum|Sensory organs|sense organ|
感觉神经,sensory nerve|sensory nerve|nervus sensorius|sensory neuron|
感慨,exclamation|sigh with emotion|Feeling|
感抗,inductive reactance|inductive impedance|positive reactance|XL|inductive reactance|
感冒,influenza|have a cold|catch a cold|Common Cold|Cold|cold|
感念,Gratitude|remember with gratitude|feelingidea|recall with deep emotion|
感佩,be grateful and admirable|Admiration|to admire with gratitude|
感情,emotion|Feeling|feeling|emotion|
感情用事,Emotional Rescue|Emotional|sentimentality|act impetuously|emotional reasoning|
感染,infect|infection|infection|Infection|
感人,impressiveness|touching|moving|
感人肺腑,gCn rQn fSi fW|Touching|be deeply moved|
感伤,Sentimental|In A Sentimental Mood|sad|sentimental|Elegy|sorrowful|
感受,feel|Vedan|Feelings|
感叹,exclamation|sigh with emotion|exclaim over|Sigh|Exdamation|plaint|
感叹号,n exclamation point|exclamation point|exclamation mark|excalmatory point|
感叹句,exclamation|Exclamatory|exclamatory sentence|
感同身受,Weve All Been There|empathizing with others|Empathy|sympathetic visage|SENSE|
感悟,perception|Sentiment|apperception|gnosis|Feeling Wu|inspiration|
感想,Impression|sentiment|Reflections|thoughts|Thoughts|reflections|
感谢,gratitude|appreciate|thank|Thank|
感性,sensibility|Sensibility|
感性认识,perceptual knowledge|Perceptual|SQL|
感言,testimonials|Testimonials|luos|Acceptance speech|
感应,reaction|interaction|induction|induce|responsereactioninteraction|
感应电流,induced electric current|induced current|induced current|induction current|
感召,impel|move and inspire|ENROLLMENT|Calling|
感知,Perception|Perceiving|perception|perceive|
橄榄,olive|Oliveira|the fruit of the canary tree|Chinese olive|
橄榄绿,olivegreen|Chartreuse|Olive Green|olive green|
橄榄球,Rugby|rugby union|rugby|
橄榄油,Olive oil|olive oil|olive oil|Huile dolive|
橄榄枝,Olive branch|olive branch|branche dolivier|
擀面杖,rolling pin|Rouleau  ptisserie|
干部,Cadres|Cadre|cadre|leader|Radical|
干部学校,school for cadres|cadre school|
干才,capability|sagacity|ability|capable|
干道,boulevard|high street|Main Rd|backbone road|artery|trunk road|main line|
干掉,dispose of|get rid of|finish off|do away with|kill|spifflicate|do for|
干将,capable person|GSword|gogetter|
干劲,enthusiasm|vigour|vector|drive|energy|
干警,Policemen|cadres and policeman|police officers|police cadres|
干练,capable and experienced|Tact|Able|
干流,trunk stream|main stream|principal stream|main stem|main stream|fleuve|master stream|
干渠,main canal|main canal|trunk canal|main channel|
干什么,
干事,secretary in charge of sth|quilldriver|officebearer|officer|manager|secretary|
干细胞,stem cell|cellule souche|stem cells|
干线,artery|artery|trunk line|trunk line|main line|main line|
干校,school for cadres|cadre school|
赣剧,
赣语,Gan|Gan dialects|Gan language|
冈陵,mound|
刚愎自用,Dictatorial|opinionated|selfwilled|headstrong|Opinionated|
刚才,a moment ago|just|Just now|just now|just ad|now|only just|
刚度,severity|stiffness|Stiffness|Raideur|rigidity|inflexibility|
刚刚,newly|just|just now|
刚好,right|Just|just|exactly|happen to be|by inches|happen to|
刚健,robust|virile|vigorous|energetic|Energetic|
刚劲,vigorous|bold|boldvigorous|sturdy|
刚烈,retaliate|Unyielding|staunch with moral integrity|hardihood|
刚毛,seta|seta|beard hair|chaeta|bristle|bristle|
刚强,firm|staunch|unyielding|bold|
刚巧,timeliness|by good luck|it so happened that|happen to|Happened|
刚柔相济,Cliffide Flower|gentleness|Hardness and softness|alternate kindness with severity|tamper force with mercy|
刚体,rigid body|rigid body|Modle du solide|
刚性,Solid|rigidness|stiffness|stiffness|rigidity|rigidity|
刚毅,Fortitude|masculinity|resolute and steadfast|
刚玉,Corindon|corundum|corundum|adamantine spar|
刚正,upright|Just being|principled|honourable|honest|
刚正不阿,noble|draw a straight furrow|have integrity|upright and plainspoken|Have Integrity|
刚直,firm|honest and upright|staunchandupright|upright and outspoken|
肛管,anal canal|Rectal tube|anal tube|anal tube|
肛门,anus|anus|Anus|anal orifice|anal opening|archos|
纲常,Tsunatsune|the three cardinal guides and the five constant virtues|tsunatsune|
纲纪,guiding principle|law and discipline|social order and law|
纲举目张,if you lift the headrope the meshes spread open|a lucid exposition of an outline|Lucid exposition of essential points|
纲领,guiding principle|creed|ticket|programme|
纲目,Screen Mesh|Outline|schema|outline|detailed outline of a subject|
纲要,compendium|sketch|Outline|outline|synopsis|Schema|essentials|schema|
钢板,plate|armor plate|steel plate|steel plate|nickelclad|
钢笔,fountain pen|pen|Pen|
钢材,Steel|steelrolled|rolled steel|aciera|
钢锭,steel slab|ingot|Steel Slab|steel ingot|ingot steel|steel ingot|bloom|
钢管,steel tube and pipe|Steel Piping|steel tube|steel tube|steel pipe|
钢轨,railroad rail|rail|rail|metals|steel rail|Steel Rail|railroad|
钢筋,rebar|reinforcing steel bar|Rebar|
钢盔,helmet|helmet|Steel Helmet|tin hat|burgonet|steel helmet|
钢坯,Steel Feed|billet|Billet Steel|Bloom Steel|
钢瓶,cylinder|steel cylinder|steel bottle|
钢琴,piano|piano|
钢水,liquid steel|Liquid Steel|Molten Steel|molten steel|s teel|
钢丝,wire|steel wire|steel wire|Spoke|
钢丝绳,wire rope|Steel Wire Rope|steel wire rope|wirerope|Steel Cable|
钢铁,steel|Steel|steel and iron|iron and steel|
缸管,vitrified clay pipe|vat pipe|earthen pipe|
缸瓦,
缸砖,quarry tile|quarry tile|clay engineering brick|clinkery brick|clinker tile|
岗地,Hillock Farmland|downland|
岗哨,The Sentinel|sentry|Sentries|lookout post|
岗亭,booth|watch box|sentry box|watchhouse|police box|
岗位,quarters|a job|Position|Post|post|station|
岗子,hillock|ridge|transcription factor|
港币,HKD|Hong Kong dollar|Hongkong dollar|AUD|
港埠,Harbor port|sea port|port|harbour|Port|
港汊,branching stream|branchingstream|
港口,harbor|haven|open port|Port|port|port|
港湾,harbor|fleet|lough|harbour|Havre|
港务,port administrative affairs|harbor service|port service|Harbour|
杠杆,lever|lever|pry|leveraged|
杠铃,Barbells|BB|barbell|
杠子,thick stick|gngzi|ancient horizontal bar|
高矮,tallshort|the height for people|height|
高昂,highspirited|Struggling|hold high ones head etc|prohibitive|
高傲,loftiness|haughty|arrogant|lofty|
高倍,high amplification|times higher|high power|
高不可攀,too high to reach|unattainable|GaoBuGePan|Unattainable|Nothing Can Bring Me Down|
高才生,whiz kid|an outstanding student|top student|Outstanding student|outstanding students|a brilliant student|
高材生,Class|Outstanding student|gifted student|top student|
高参,senior staff officer|
高层,top|highrise|High level|
高层住宅,Highrise flats|highrise housing|highrise residence|highrise residential building|Highrise residential|
高产,good harvest|high yield|High yield|highyielding|
高超,Superb|high|excellent|superb|GARMIN|exquisite|
高潮,Climax|upsurge|spring tide|high tide|high water|climax|
高程,height|elevation|elev|elevation|
高大,tall and big|tall|high and noble|Tall|lofty|
高档,highend|top grade|meeting clothes|high range|
高等,advanced|high|Advanced|of a higher level|ge gao deng|higher|
高等动物,higher mammal|higher animal|higher animal|high animal|
高等教育,higher education|tudes suprieures|tertiary education|
高等学校,institution of higher learning|colleges and universities|halls of ivy|institution of higher education|
高等植物,high plant|advanced plant|higher plant|higher plant|
高低,just|up and down|highlow|scale from best to worst|Height|discretion|Compete|height|
高低杠,uneven bars|Uneven bars|
高地,highland|upland|Highland|
高调,Highprofile|sharp|lofty tone|High key|
高度,altitude|Height|height|
高端,TECHA|highend|HighPoint|
高尔夫球,Golf|golf|golfball|
高发,de gao fa|score high in the imperial exam|high epidemic|Fury|occurred frequently|
高分子,macromolecule|
高风亮节,noble moral principle|have a sharp sense of integrity|Sharp sense of integrity|exemplary conduct and nobility of character|
高峰,peak time|Crestauido|peak|Gao Feng|
高干,highranking official|Gao Gan|senior cadre|
高高在上,stand high above the masses|UP WHERE WE BELONG|High above|in a high rack|
高歌,sing loudly|Goge|sing with a resounding voice|Singing|Gooooe|
高歌猛进,advance boldly with songs on ones lips|Advacing Triumphantly|stride forward singing militant songs|advance triumphantly|rapid development|Advance Triumphantly|
高阁,shelf|Shelf|
高估,overrate|Overestimate|overstate|over estimate|Overvalued|
高官厚禄,Rooster|high post with matched salary|Greatnesses|
高贵,ennoblement|noble|Baron|dignity|Alice|nobleness|elitist|
高寒,alpinearctic|high cold|high and cold|alpine|
高胡,
高级,high grade|expert|high class|high class|highranking|advanced|Senior|Advanced|
高级小学,advanced class of primary school|higher primary school|
高级中学,senior middle school|high school|senior high school|
高甲戏,gojixi|Gaojia opera|Gaoja opera|
高价,high price|at a good price|Expensive|high price|
高架路,elevated road|viaduct|flyover|overhead roads|
高架桥,viaduct|viaduct|viaduc|
高见,wise idea|Opinions|Takami|your brilliant idea|your opinion|
高教,high education|higheducation|higher education|
高洁,virtuousness|noble and unsullied|nobleness|Noble|
高精尖,highgrade precision and advanced industrial products|Sophisticated|
高举,hold high|lift up|exalted|fly up|hold aloft|
高峻,high and steep|Tingl|
高亢,resounding|aroused|loud and sonorous|reverating|Resounding|
高考,college entrance examination|College Entrance Examination|National Matriculation Test|entrance examination|
高科技,hightechnology|hightech|high technology|techniques de pointe|high tech|
高空,welkin|upper air|upper air|high altitude|High altitude|DJ|
高丽,Korean|Corea|Goryeo|
高丽纸,Hanji|a kind of white tissue paper|
高利,GregoriusNazianzenus|usury|high interest|
高利贷,usurious loan|dear money|feneration|usury|usury|Usury|
高粱,Sorgho commun|Sorghum bicolor|sorghum|broomcorn|sorghum|
高龄,senile|venerable age|aged|advanced in years|advanced age|
高岭土,white clay|china clay|bolus alba|caoline|Kaolin|kaolin|white bole|kaoline|
高炉,Blast furnace|blast furnace|shaft furnace|blast furnace|
高论,brilliant views|enlightening remarks|
高帽子,tall paper hat worn as a sign of humiliation|busby|Flattery|top hat|
高门,rich family|Coleman|top gate|wealthy family|Highgate|
高锰酸钾,Permanganate de potassium|purple salt|potassium permanganate|potassium permanganate|Potassium permanganate|mineral chameleon|potassium hypermanganate|kalium permanganicum|
高妙,ingenious|Masterly|masterly|
高明,clever|better qualified|brilliant|Gao Ming|bright|wise|Garmin|
高难,
高能,Energy|high energy|HiNRG|highpowered|
高攀,to befriend or marry sb of higher social position|Len Kaung Soong|make friends or claim ties of kinship with someone of a higher social position|
高朋满座,No Room For Squares|Welcome to the House|a party of many distinguished friends|The Weddings|Guests and friends filled up the room|Many guests of exalted rank were present|All seats are occupied by eminent guests  numerous friends|
